molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,canonical_smiles,pchembl_value,activity_comment,pIC50
CHEMBL303519,CHEMBL234,IC50,5600.0,nM,c1cnc(N2CCN(Cc3cccc4c3Cc3ccccc3-4)CC2)nc1,5.25,,5.251811972993799
CHEMBL292943,CHEMBL234,IC50,72.0,nM,COc1ccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)cc1,7.14,,7.142667503568731
CHEMBL110247,CHEMBL234,Ki,8000.0,nM,C[C@@H]1CN(CCCn2c3ccccc3c3ccccc32)C[C@H](C)N1C,,,5.096910013008056
CHEMBL323184,CHEMBL234,Ki,8000.0,nM,O=C(NCC1c2ccccc2-c2ccccc21)C1CCNCC1,,,5.096910013008056
CHEMBL317757,CHEMBL234,Ki,145.0,nM,CN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2,6.84,,6.838631997765025
CHEMBL323220,CHEMBL234,Ki,8000.0,nM,C[C@@H]1CN(CCCN(c2ccccc2)c2ccccc2)C[C@H](C)N1,,,5.096910013008056
CHEMBL314726,CHEMBL234,Ki,8000.0,nM,C[C@@H]1CN(CCCn2c3ccc(Br)cc3c3cc(Br)cc(Br)c32)C[C@@H](C)N1,,,5.096910013008056
CHEMBL309118,CHEMBL234,Ki,36.0,nM,O=C(NCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc2c1-c1ccccc1C2=O,7.44,,7.443697499232712
CHEMBL324896,CHEMBL234,Ki,2420.0,nM,c1ccc(N2CCN(CCCn3c4ccccc4c4ccccc43)CC2)cc1,5.62,,5.616184634019569
CHEMBL315864,CHEMBL234,Ki,56.5,nM,Oc1nc2c(N3CCN(Cc4ccccc4)CC3)cccc2[nH]1,7.25,,7.247951552180561
CHEMBL61682,CHEMBL234,IC50,8.0,nM,Fc1ccc(-c2cncc(CN3CCN(c4ccccc4F)CC3)c2)cc1,8.10,,8.096910013008056
CHEMBL110726,CHEMBL234,Ki,4000.0,nM,Clc1ccccc1N1CCN(CCCn2c3ccccc3c3ccccc32)CC1,,,5.3979400086720375
CHEMBL322179,CHEMBL234,Ki,430.0,nM,O=C(NCCCN1CCN(c2ccccc2)CC1)c1cccc2c1-c1ccccc1C2=O,6.37,,6.366531544420414
CHEMBL419505,CHEMBL234,Ki,0.9,nM,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2c(c1)-c1ccccc1-2,9.05,,9.045757490560675
CHEMBL108527,CHEMBL234,Ki,170.0,nM,O=C(NCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc2c1Cc1ccccc1-2,6.77,,6.769551078621726
