target_chembl_id,pref_name,search_term
CHEMBL3435,Alpha-glucosidase,alpha_glucosidase
CHEMBL4348,Alpha-glucosidase,alpha_glucosidase
CHEMBL1293309,Os06g0676700 protein,alpha_glucosidase
CHEMBL2608,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL5280,Alpha-glucosidase,alpha_glucosidase
CHEMBL3784909,Alpha-glucosidase,alpha_glucosidase
CHEMBL4295524,Alpha-glucosidase,alpha_glucosidase
CHEMBL5291954,Alpha-glucosidase,alpha_glucosidase
CHEMBL2519,Neutral alpha-glucosidase AB,alpha_glucosidase
CHEMBL2520,Neutral alpha-glucosidase C,alpha_glucosidase
CHEMBL2974,Alpha-glucosidase,alpha_glucosidase
CHEMBL3635,Neutral alpha-glucosidase C,alpha_glucosidase
CHEMBL4406,Alpha-glucosidase,alpha_glucosidase
CHEMBL4412,Alpha-glucosidase,alpha_glucosidase
CHEMBL1163102,Probable alpha-glucosidase Os06g0675700,alpha_glucosidase
CHEMBL3833502,Alpha glucosidase,alpha_glucosidase
CHEMBL2932,Alpha-glucosidase MAL12,alpha_glucosidase
CHEMBL3513,Acidic alpha-glucosidase,alpha_glucosidase
CHEMBL4357,Alpha-glucosidase MAL62,alpha_glucosidase
CHEMBL5848,"Oligo-1,6-glucosidase",alpha_glucosidase
CHEMBL1667668,Lysosomal alpha-glucosidase,alpha_glucosidase
CHEMBL1667666,Sucrase-isomaltase,alpha_glucosidase
CHEMBL2074,Maltase-glucoamylase,alpha_glucosidase
CHEMBL2748,Sucrase-isomaltase,alpha_glucosidase
CHEMBL3114,Sucrase-isomaltase,alpha_glucosidase
CHEMBL4523366,Mannosyl-oligosaccharide glucosidase,alpha_glucosidase
