molecule_chembl_id,canonical_smiles,standard_value,binding_affinity,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL470465,C#CC(O)/C=C/CCCCCC#CC/C=C\CCCCCCCCCCC/C=C\C#CC(=O)O,0.16,-6.387,10.229113942683712,10.229113942683712,0.7483347229253006,-1.0778563805617163,0.1191312836591021,11.764705882352942,464.6900000000004,420.33800000000025,464.32904526799996,186,0,0.3817429892372913,-0.47161991206599235,0.47161991206599235,0.3817429892372913,0.7352941176470589,1.2941176470588236,1.911764705882353,16.364410941964902,10.054298781631731,1.9241119721154278,-2.0089234818435107,2.114866720646351,-1.945889791407856,5.863035580532282,-0.1299376963944157,2.826830053981493,3.322626798406463,743.5074791547463,24.953690411602576,20.942292915152095,20.942292915152095,16.663902460147014,12.975388512888843,12.975388512888843,8.404263533120325,8.404263533120325,5.295149732448303,5.295149732448303,3.3611784154101008,3.3611784154101008,-2.67,20269923.41674694,31.33,26.58127120470096,27.36409478349812,208.36637114318867,10.213054789681411,6.103966387748303,0.0,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,12.343784214475903,93.43195636731055,57.09779157414984,18.762077564707663,0.0,15.007591973753234,5.969305287951849,0.0,0.0,0.0,115.25793397749051,0.0,36.45612064100329,0.0,36.02552148989848,0.0,0.0,0.0,0.0,22.286326465381563,4.794537184071822,36.02552148989848,109.15396758974221,36.45612064100329,0.0,0.0,0.0,57.53,12.073271675700152,9.901064578912528,0.0,0.0,0.0,57.787394606334104,51.36657298340809,12.152040213667762,12.152040213667762,41.75421180794598,11.529877290460965,0.0,0.0,10.229113942683712,17.58621948623035,0.0,12.246117006884722,0.0,35.93854956420121,0.0,0.0,0.5806451612903226,34,2,3,0,0,0,0,0,0,0,1,0,2,2,3,0,19,0,0,0,0,1,24.493859613037678,0,7.372200000000007,143.93659999999994,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0
CHEMBL465330,C#C[C@@H](O)/C=C/CCCCCC#CC#CCCCC#CCCCC#CCCCCCC#CC(=O)O,0.25,-7.597,10.240192238580114,10.240192238580114,0.6405554344440589,-1.0592841184423356,0.18934067235407442,9.942857142857143,470.6530000000004,432.3490000000003,470.28209507599996,184,0,0.3813969100065031,-0.47162842283492196,0.47162842283492196,0.3813969100065031,0.6571428571428571,1.1142857142857143,1.6571428571428573,16.364413303663888,10.1259008526441,1.8972307811841385,-1.9487577433969823,2.0355939468701894,-1.9458846226487858,5.85836976594422,-0.12994602456025253,2.8483956822518843,3.5100764939610154,952.9926310214406,25.660797192789122,20.92578505720704,20.92578505720704,17.163902460147014,12.563068793202142,12.563068793202142,7.824348017658233,7.824348017658233,4.6569602067156985,4.6569602067156985,2.771971861850841,2.771971861850841,-3.470000000000001,33047633.597457353,31.53,26.779703035052673,28.49728289425173,213.1081954975316,10.213054789681411,6.103966387748303,0.0,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,30.105087171042836,42.59940062810847,62.86264010502725,50.86618567933772,0.0,15.007591973753234,5.969305287951849,0.0,0.0,0.0,108.8371123545645,0.0,12.152040213667762,0.0,71.54812740303232,0.0,0.0,0.0,0.0,22.286326465381563,4.794537184071822,71.54812740303232,102.7331459668162,12.152040213667762,0.0,0.0,0.0,57.53,12.073271675700152,9.901064578912528,0.0,0.0,6.4208216229260096,96.31232434389018,0.0,6.076020106833881,6.076020106833881,65.12477750741208,11.529877290460965,0.0,0.0,10.240192238580114,17.584936734898548,0.0,30.73699428331227,0.0,22.93787674320907,0.0,0.0,0.53125,35,2,3,0,0,0,0,0,0,0,1,0,2,2,3,0,14,0,0,0,0,0,24.124686762720312,0,5.879900000000006,144.3675999999999,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0
CHEMBL4634355,O=c1cc(-c2cc(O)c(O)c(O)c2)c2ccc(O)c(O)c2o1,0.25,-7.446,11.644102103804485,11.644102103804485,0.21832388510959966,-0.7958753779289498,0.34284863014523764,10.909090909090908,302.23800000000006,292.158,302.04265266,112,0,0.3364570214364936,-0.5041604439773245,0.5041604439773245,0.3364570214364936,0.7727272727272727,1.4090909090909092,2.0454545454545454,16.403166366808037,10.004237166127295,2.161651223425303,-2.092288371076893,2.418122387485247,-1.9801646521430274,5.9716530439199405,0.36799836439280625,2.47530509035622,2.412501750558451,932.9926827834672,16.016143379015546,10.939315904375647,10.939315904375647,10.379917853109719,6.123140834537527,6.123140834537527,4.652194745891292,4.652194745891292,3.245890599018647,3.245890599018647,2.2003607680780575,2.2003607680780575,-3.35,89170.39057499246,13.624737496262508,4.589937946900745,1.9568672179507631,122.10766954232908,29.949787911256873,0.0,28.58106747477786,5.749511833283905,0.0,5.625586319077987,0.0,4.794537184071822,0.0,0.0,0.0,29.828919765543436,17.0160427746234,0.0,29.949787911256873,10.969244356107037,0.0,0.0,0.0,0.0,0.0,40.75195884545786,0.0,39.87446214981352,5.625586319077987,0.0,28.747559166419524,0.0,25.532636974203527,0.0,0.0,0.0,39.543523463433225,0.0,22.09614733950103,0.0,131.36,34.37314548549751,30.327174158275348,0.0,22.09614733950103,0.0,18.19910120538483,12.13273413692322,0.0,0.0,0.0,4.417150937053347,4.879671752960443,0.0,11.644102103804485,48.0677914777022,-0.5620842781557063,-2.872066877676996,6.00925248803225,0.0,0.0,0.0,0.0,22,5,7,0,0,0,0,2,1,3,0,0,7,5,7,1,1,0,0,0,0,0,2.8425772568480334,3,1.9880000000000004,76.244,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL3349437,OC[C@@]1(O)C[C@H](NCCc2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O,2.3,-6.531,10.112386869884165,10.112386869884165,0.03007637314184919,-1.8025196050642478,0.3900859602078646,36.61904761904762,297.35100000000006,274.167,297.157622836,118,0,0.1176140440585745,-0.39327446007586075,0.39327446007586075,0.1176140440585745,1.0952380952380953,1.7619047619047619,2.380952380952381,16.39947955977876,9.760919965966488,2.5039417802984136,-2.4495266124479813,2.2896416251741893,-2.6655653705195648,5.146765630197017,-0.20621108803044627,2.5110886040536933,1.924745277105823,442.9499342431154,15.457819157813608,11.760647524952615,11.760647524952615,9.976180956856101,7.124926957557843,7.124926957557843,5.688051590274095,5.688051590274095,4.146419938250355,4.146419938250355,2.7625240314003543,2.7625240314003543,-1.02,50834.477700462965,16.352227942359193,6.82672369972243,3.6015372448962144,123.23108194012535,30.849425578209853,17.808983586480295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33183534230805,24.94985114346159,6.041840829147961,12.71084835226122,25.532636974203527,0.0,0.0,5.316788604006331,0.0,42.79643404922857,13.151638370425493,35.89528683400505,0.0,0.0,5.316788604006331,0.0,0.0,0.0,68.63906614800557,6.4208216229260096,0.0,11.984273114623004,30.33183534230805,0.0,0.0,0.0,113.18,36.56167276788947,25.532636974203527,0.0,6.4208216229260096,6.544756405912575,11.984273114623004,0.0,0.0,30.33183534230805,5.316788604006331,0.0,0.0,0.0,0.0,51.89264883121395,-0.6698322415385904,0.0,9.193461532238137,-3.546115168034361,-0.12016295387913334,0.0,0.6,21,6,6,1,0,1,0,1,0,1,5,0,6,6,6,0,5,1,0,1,0,0,5.315816287493659,2,-1.6029,76.60970000000003,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL2374254,OC[C@@]1(O)C[C@H](NC[C@H](O)c2ccccc2)[C@H](O)[C@H](O)[C@H]1O,2.9,-6.126,10.115788230428382,10.115788230428382,0.09331727135298573,-1.8948287509448218,0.33065935231313714,37.0,313.3500000000001,290.166,313.152537456,124,0,0.11761405684364813,-0.3932744600757594,0.3932744600757594,0.11761405684364813,1.1363636363636365,1.7727272727272727,2.3636363636363638,16.39969102402055,9.760638684655593,2.505406071772795,-2.4508125582570837,2.293265967644382,-2.666460636097405,5.173212625863937,-0.20660433684328258,2.5527020276117534,1.9938026302259475,472.3602933086372,16.328062645816686,12.078104608455652,12.078104608455652,10.386864559379061,7.226495881770407,7.226495881770407,5.833058554316065,5.833058554316065,4.241128820319247,4.241128820319247,2.7719890535751963,2.7719890535751963,-1.06,77612.35244750774,17.29632108451906,7.011570089346454,3.465516730420119,128.02531569232136,35.95595297305056,17.808983586480295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33183534230805,11.984273114623004,12.586597235060536,18.814814740009524,30.63916436904423,0.0,0.0,5.316788604006331,0.0,42.47957881405086,13.151638370425493,35.89528683400505,0.0,0.0,5.316788604006331,0.0,0.0,0.0,73.74559354284628,0.0,0.0,18.08823950237131,30.33183534230805,0.0,0.0,0.0,133.41,42.66563915563777,30.63916436904423,0.0,12.965578028838586,5.563451491696996,0.0,0.0,24.26546827384644,6.06636706846161,5.316788604006331,0.0,0.0,0.0,0.0,61.783769626754385,-1.2019562022339791,0.0,8.150637458164063,-5.503710122682888,-0.6454074266682492,0.0,0.6,22,7,7,1,0,1,0,1,0,1,6,0,7,7,7,0,5,1,0,1,0,0,5.512471253270284,2,-2.111999999999999,77.86550000000004,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL361025,O=c1c2cc(O)ccc2oc2cc(O)cc(O)c12,3.2,-6.484,12.159574829931973,12.159574829931973,0.022314814814814454,-0.45865740740740724,0.5263727712755552,11.11111111111111,244.20199999999997,236.13799999999995,244.037173356,90,0,0.20392361245015297,-0.5079370014308849,0.5079370014308849,0.20392361245015297,0.8888888888888888,1.6666666666666667,2.4444444444444446,16.338021411261533,10.112178143628329,2.1262154504694353,-2.0370539218547563,2.2994861891196763,-2.016393928264539,5.936374268487299,0.45247203952135284,2.2909881906662015,2.6114191107086504,832.0093942884614,12.861442840636295,9.04488871337573,9.04488871337573,8.558550648063802,5.175927239037569,5.175927239037569,3.949680451764156,3.949680451764156,2.720868266926349,2.720868266926349,1.9328759789275864,1.9328759789275864,-2.69,13945.245116585169,10.463098708733696,3.3990092340663063,1.3742630109328746,100.14377236360824,19.736733121575465,33.800799997601,0.0,5.428790391900541,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,18.19910120538483,12.13273413692322,5.386224214464796,19.736733121575465,21.938488712214074,0.0,0.0,0.0,0.0,0.0,40.55516291828041,0.0,17.248535499851716,5.428790391900541,0.0,17.248535499851716,0.0,15.319582184522117,0.0,0.0,0.0,39.54352346343322,0.0,21.938488712214074,0.0,90.9,5.428790391900541,20.11411936859394,0.0,39.18702421206579,0.0,6.06636706846161,24.26546827384644,0.0,0.0,0.0,4.417150937053347,5.412546296296296,0.0,12.159574829931973,28.5399739648946,-0.09200018896447393,-0.6132506088855285,6.426489040060468,0.0,0.0,0.0,0.0,18,3,5,0,0,0,0,2,1,3,0,0,5,3,5,1,0,0,0,0,0,0,1.9757871737740598,3,2.063,64.98440000000002,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL3349441,OC[C@@]1(O)C[C@H](NCc2cccs2)[C@H](O)[C@@H](O)[C@@H]1O,3.3,-5.68,10.05582349143361,10.05582349143361,0.03346371882086152,-1.7998381991685561,0.39861632032014643,39.421052631578945,289.35300000000007,270.20099999999996,289.098393708,108,0,0.11761419966073322,-0.39327446007078926,0.39327446007078926,0.11761419966073322,1.3157894736842106,2.0526315789473686,2.6315789473684212,32.133473433187405,9.761249224980466,2.5044344014275692,-2.4489693967933177,2.293218843254152,-2.6632340691470544,7.094254448351728,-0.20642649222855214,2.9216160477183637,2.0269688665251047,400.8338230394272,14.043605595440512,10.307088495850678,11.123585076778404,8.9761809568561,6.109411561923811,6.9890643731787065,4.958593218726594,5.990838401088347,3.6019765769210816,4.478363941612693,2.3607963034473007,3.0165251156380997,-0.54,23691.38453094821,14.860537006894265,5.840285926074446,2.973908981112154,114.50650309614021,30.849425578209853,17.808983586480295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.336785877934737,6.06636706846161,17.867251461853535,17.463744428761835,12.71084835226122,25.532636974203527,11.336785877934737,0.0,5.316788604006331,0.0,42.92036883221514,6.606881964512918,22.389944101090435,0.0,0.0,5.316788604006331,0.0,0.0,11.336785877934737,62.094309742092996,6.544756405912575,0.0,11.297968816627309,17.512796907389134,0.0,0.0,0.0,113.18,36.56167276788947,20.426109579362823,0.0,6.4208216229260096,6.544756405912575,4.877147193701299,0.0,11.336785877934737,17.512796907389134,5.316788604006331,5.106527394840706,0.0,1.5518214863105735,1.0558796296296298,53.507901195200304,-1.7998381991685561,0.0,3.2319828540984292,-4.282713031200135,-0.1817006015369107,0.0,0.6666666666666666,19,6,6,1,0,1,0,0,1,1,5,0,7,6,7,1,4,1,0,1,0,0,4.567883428172266,2,-1.5839000000000005,69.61970000000004,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CHEMBL465332,C#C[C@@H](O)/C=C/CCCCCCC#C[C@@H](O)/C=C/[C@H](O)C#CCCCCCC/C=C/[C@H](O)C#C,4.08,-7.311,9.847601354553786,9.847601354553786,0.7242604401320573,-0.9028101677314757,0.15781260383218126,14.529411764705882,464.64600000000036,424.32600000000025,464.29265975999994,184,0,0.13299672456897085,-0.3767247362582071,0.3767247362582071,0.13299672456897085,0.5,0.8823529411764706,1.2647058823529411,16.271650933564224,10.10093210193134,1.9585553939651799,-1.9835397081036605,2.0662509420983963,-2.022293095845604,5.174870899602284,0.26474006816722206,2.8391200225558753,3.7818187569919193,733.1945187480088,25.279963825235637,20.202338986513915,20.202338986513915,16.489600962842502,12.12178306200513,12.12178306200513,7.901893372328704,7.901893372328704,4.798988563268829,4.798988563268829,2.8798137050812227,2.8798137050812227,-2.7,17441489.3783269,31.300000000000004,23.457914671428192,22.49238179221502,206.42759982499953,20.426109579362823,24.41586555099321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.687568428951806,61.517063980794376,62.829010164891585,12.841643245852019,0.0,20.426109579362823,0.0,0.0,0.0,0.0,101.46572502610535,0.0,36.45612064100329,0.0,48.36930570437438,0.0,0.0,0.0,0.0,44.841975130356026,0.0,48.36930570437438,77.04985947511214,36.45612064100329,0.0,0.0,0.0,80.92,24.41586555099321,20.426109579362823,0.0,0.0,0.0,77.04985947511214,12.152040213667762,12.152040213667762,12.152040213667762,35.522605913133866,12.846699791240518,0.0,0.0,0.0,38.071152316753846,0.0,15.911884412555363,0.0,28.350296604024123,0.0,0.0,0.5333333333333333,34,4,4,0,0,0,0,0,0,0,4,0,4,4,4,0,16,0,0,0,0,0,21.595080271050076,0,4.0530000000000035,140.06919999999994,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,0
CHEMBL169,C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12,4.42,-6.751,12.794429261688567,12.794429261688567,0.030190026857595198,-0.5570337792868902,0.4141086905846976,55.333333333333336,456.7110000000003,408.3270000000002,456.36034539599996,186,0,0.3097527636616839,-0.4808054432074283,0.4808054432074283,0.3097527636616839,0.9090909090909091,1.606060606060606,2.272727272727273,16.368283293657818,9.330790097317331,2.6900628502615516,-2.709429388259776,2.752776611389789,-2.650216449717438,5.763991903786464,-0.20615027670086428,2.7374829838010633,1.612700751104985,873.767491538075,24.18986996538248,22.20808839647009,22.20808839647009,15.255160827992318,13.875706519819179,13.875706519819179,14.484285992279444,14.484285992279444,13.394614743879306,13.394614743879306,10.847407088259112,10.847407088259112,-0.8300000000000001,16035584.022782128,23.89063250911185,7.109935629798443,2.7520231225622642,201.35380314993657,10.213054789681411,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,60.11528503473751,109.03688671472817,0.0,11.518956857145081,15.007591973753234,5.969305287951849,0.0,0.0,56.66448257779086,112.35752139191676,0.0,11.64912463690315,0.0,0.0,0.0,0.0,0.0,0.0,22.286326465381563,4.794537184071822,56.66448257779086,106.25355500416846,11.64912463690315,0.0,0.0,0.0,57.53,11.384295757348628,15.007591973753234,0.0,33.681834311496814,23.671624184645573,44.94575136048208,18.414747775921285,0.0,0.0,54.54218050466824,0.0,0.0,0.0,12.794429261688567,21.410935547618777,1.4584977888206614,1.8249208581121457,0.0,11.644132998789818,16.95041687830337,0.0,0.9,33,2,3,5,0,5,0,0,0,0,10,0,2,2,3,0,1,4,0,4,0,0,5.1472987665137975,5,7.089500000000009,132.6116,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL3349431,OCN(CO)[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,4.6,-4.707,9.886018518518519,9.886018518518519,0.28768518518518493,-1.9802546296296297,0.24950873269792215,43.05882352941177,253.251,234.09899999999993,253.116151948,102,0,0.11762495400575423,-0.39327445880379724,0.39327445880379724,0.11762495400575423,1.0,1.5294117647058822,1.9411764705882353,16.401295508067438,9.757061176185575,2.5196955589219368,-2.4725405973261823,2.313684663464716,-2.6710147260720665,5.042490090981735,-0.2264068878051879,2.3407981537589873,2.923722843613637,249.4988683226079,13.21517847069432,9.21553696550436,9.21553696550436,7.907231271634802,5.241571393068037,5.241571393068037,4.330781339719827,4.330781339719827,3.2869079328317663,3.2869079328317663,2.0935320316139086,2.0935320316139086,-0.32,4756.501848438262,14.739952038369305,5.547634735965579,2.586866921310532,97.97242672504863,35.745691763884935,17.808983586480295,0.0,0.0,0.0,0.0,4.899909730850478,0.0,0.0,0.0,0.0,6.4208216229260096,6.041840829147961,26.172481847260187,35.745691763884935,0.0,0.0,4.899909730850478,0.0,36.37561242630256,20.068515459511886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.66890775762386,0.0,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,144.85000000000002,50.02330626288844,20.426109579362823,0.0,6.4208216229260096,0.0,4.899909730850478,0.0,0.0,0.0,0.0,15.319582184522117,0.0,0.0,1.0003935185185182,65.63726048752835,-1.9802546296296297,0.0,-0.9717129629629635,-5.106564153439154,-1.9957889266817839,0.0,1.0,17,7,8,1,0,1,0,0,0,0,5,0,8,7,8,0,4,1,0,1,0,0,4.810109996148482,1,-4.233599999999997,54.471600000000045,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
